SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định
2591170,Thương hiệu,Prada,Kích thước,3 oz / 90 mL,,,có,
2591196,Thương hiệu,Prada,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,
2594158,Thương hiệu,TOM FORD,Kích thước,1 oz / 30 mL eau de parfum spray,,,có,
2599900,Thương hiệu,KAYALI,Kích thước,.34 oz / 10 mL eau de parfum spray,,,có,
2599900,Thương hiệu,KAYALI,Kích thước,.34 oz / 10 mL eau de parfum spray,,,có,
2599967,Thương hiệu,KAYALI,Kích thước,1.7 oz / 50 mL,,,có,
2600534,Thương hiệu,KILIAN Paris,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,
2600542,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,
2603231,Thương hiệu,Gucci,Kích thước,3.3 oz / 100 mL eau de parfum spray,,,có,
2603280,Thương hiệu,Marc Jacobs Fragrances,Kích thước,2.5 oz / 75 mL,,,có,
2603322,Thương hiệu,BURBERRY,Kích thước,0.33 oz / 10 mL parfum spray,,,có,
2608735,Thương hiệu,BURBERRY,Kích thước,3.4 oz / 100 mL parfum spray,,,có,
260885,Thương hiệu,DIOR,Kích thước,1.7 oz/ 50 mL,,,có,
2611465,Thương hiệu,KAYALI,Kích thước,3.4 oz / 100 mL eau de parfum spray,,,có,
2616084,Thương hiệu,Commodity,Kích thước,3.4 oz / 100 mL eau de parfum spray,,,có,
2619294,Thương hiệu,Sol de Janeiro,Kích thước,0.27 oz / 8 mL Eau De Parfum Spray,,,có,
2628873,Thương hiệu,CLEAN RESERVE,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,
2628873,Thương hiệu,CLEAN RESERVE,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,
2634657,Thương hiệu,KAYALI,Kích thước,0.33 oz / 10 mL eau de parfum spray,,,có,
2634673,Thương hiệu,KAYALI,Kích thước,3.4 oz / 100 mL eau de parfum spray,,,có,
2636108,Thương hiệu,CLEAN RESERVE,Kích thước,3.4 oz eau de parfum spray,,,có,
2636116,Thương hiệu,CLEAN RESERVE,Kích thước,0.34 oz eau de parfum rollerball,,,có,
2639615,Thương hiệu,Yves Saint Laurent,Kích thước,1.0 oz / 30 ml eau de parfum,,,có,
2639789,Thương hiệu,Valentino,Kích thước,1 oz / 30 mL eau de parfum spray,,,có,
2639797,Thương hiệu,Valentino,Kích thước,0.34 oz / 10 mL eau de parfum spray,,,có,
2640092,Thương hiệu,TOM FORD,Kích thước,1.7 oz / 50 mL,,,có,
2640118,Thương hiệu,TOM FORD,Kích thước,1.7 oz / 50 mL,,,có,
